2018-06-29 15:01:19,845:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:09:53,555:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:20:57,263:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:33:02,503:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:36:58,599:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:38:45,351:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:41:29,993:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:44:49,161:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:50:37,135:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:52:45,740:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
2018-06-29 15:58:47,201:DEBUG:__main__:value of OPTIONS in init Namespace(DEBUG=False, config_file='.\\config_file.yaml', debug_log=None, default_password=None, default_user=None, icon_theme=None, proxy_server=None, start_url=None, window_size=None)
